"Year","Units","Series","Territorio","Value"
"2020","Porcentaje","Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza","España","20.97"
"2017","Porcentaje","Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza","Aragón","13.33"
"2010","Porcentaje","Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza","Aragón","14.16"
"2017","Porcentaje","Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza","España","21.61"
"2015","Porcentaje","Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza","Aragón","14.4"
"2015","Porcentaje","Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza","España","22.13"
"2011","Porcentaje","Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza","Aragón","15.55"
"2022","Porcentaje","Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza","España","20.45"
"2018","Porcentaje","Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza","España","21.54"
"2019","Porcentaje","Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza","Aragón","17.92"
"2016","Porcentaje","Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza","Aragón","15.71"
"2021","Porcentaje","Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza","Aragón","15.79"
"2012","Porcentaje","Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza","Aragón","14.54"
"2021","Porcentaje","Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza","España","21.67"
"2011","Porcentaje","Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza","España","20.65"
"2013","Porcentaje","Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza","Aragón","16.14"
"2019","Porcentaje","Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza","España","20.66"
"2010","Porcentaje","Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza","España","20.72"
"2016","Porcentaje","Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza","España","22.35"
"2018","Porcentaje","Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza","Aragón","14.2"
"2020","Porcentaje","Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza","Aragón","15.96"
"2022","Porcentaje","Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza","Aragón","15.03"
"2014","Porcentaje","Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza","Aragón","16.91"
